Timestamp,Username,Last Name,First Name,Full Name,"Are you available to interview students on Saturday, March 14, 2020",Track,Are you recruiting this year?,1st Most Similar Faculty Member,2nd Most Similar Faculty Member,3rd Most Similar Faculty Member,4th Most Similar Faculty Member,5th Most Similar Faculty Member,1st Choice Student,2nd Choice Student,3rd Choice Student,4th Choice Student,5th Choice Student,6th Choice Student,7th Choice Student,8th Choice Student,9th Choice Student,10th Choice Student
    ,    ,John,Clay,JohnClay,Yes,Biomedical Imaging,Maybe,,,,,,,,,,,,,,,
2020/03/02 1:34:24 PM AST,Wilfred.Lara@test.com,Lara,Wilfred,LaraWilfred,Yes,Neural Engineering,Maybe,"Arellano,Danish","Wharton,Lisa","Drummond,Talha","Webb,Chace","Hinton,Colleen","Amos,Paris","Quintero,Shivam","Jeffery,Atlanta","Norton,Lavinia","Newman,Rishi", , , , ,
2020/03/01 11:36:52 PM AST,Elsie-Rose.Major@test.com,Major,Elsie-Rose,MajorElsie-Rose,Yes,Neural Engineering,Maybe,"Buck,Hunter","Richardson,Nyla_typo","Holman,Rebecca","Rooney,Saffa","Wharton,Lisa","Graves,Maci","Smyth,Ann-Marie","Pace,Joanne","Huffman,Ruby-Leigh","Acosta,Shyam","Smart,Danny","Clarkson,Lianne","Norton,Lavinia","Webster,Melody",
2020/02/25 4:34:10 PM AST,Caine.Mckenna@test.com,Mckenna,Caine,MckennaCaine,Yes,Biomaterials,Yes, , , , , ,"Pace,Joanne","Howell,Steven","Rigby,Ashraf","Cunningham,Reon","Beach,Sean","Milner,Humzah","Beattie,Ewen","Quintero,Shivam","Moore,Dane",
2020/02/25 5:57:13 PM AST,Danyal.Meyer@test.com,Meyer,Danyal,MeyerDanyal,Yes,Biomedical Imaging,Yes,"Webb,Chace","Nguyen,Elsie-Mae","Grainger,Ellie-Louise","Moyer,Jeevan","John,Clay","Jeffery,Atlanta","Acosta,Shyam","Cunningham,Reon","Frey,Reggie","Boyce,Joey","Thornton,Carol","Newman,Rishi","Quintero,Shivam","Arellano,Maddison",
2020/03/04 5:53:44 PM AST,Sameer.Meyers@test.com,Meyers,Sameer,MeyersSameer,Yes,Neural Engineering,No, , , , , ,"Pace,Joanne","Acosta,Shyam","Thornton,Carol","Delaney,Cherie","Norton,Lavinia","Barnard,Vikki","Howell,Rafe", , ,
2020/03/02 11:31:19 PM AST,Jeevan.Moyer@test.com,Moyer,Jeevan,MoyerJeevan,Yes,Biomedical Imaging,Yes,"Webb,Chace","John,Clay","Drummond,Talha","Nguyen,Elsie-Mae", ,"Newman,Rishi","Boyce,Joey","Jeffery,Atlanta","Brandt,Hadassah", , , , , ,
    ,    ,Neal,Bronte,NealBronte,Yes,Biomedical Imaging,Maybe,,,,,,,,,,,,,,,
2020/03/03 12:22:39 AM AST,Elsie-Mae.Nguyen@test.com,Nguyen,Elsie-Mae,NguyenElsie-Mae,Yes,Biomedical Imaging,Yes,"Meyer,Danyal","Webb,Chace","Grainger,Ellie-Louise","Drummond,Talha","Amos,Paris","Jeffery,Atlanta","Cunningham,Reon","Newman,Rishi","Brandt,Hadassah","Quintero,Shivam", , , , ,
2020/02/25 3:03:26 PM AST,Nyla.Richardson@test.com,Richardson,Nyla_typo,RichardsonNyla_typo,Yes,Neural Engineering,Yes,"Buck,Hunter", , , , ,"Pace,Joanne","Clarkson,Lianne","Beach,Sean","Sampson,Aalia","Hodson,Sheldon","Frey,Reggie", , , , 
    ,    ,Rooney,Saffa,RooneySaffa,Yes,Neural Engineering,Maybe,,,,,,,,,,,,,,,
2020/02/25 2:45:31 PM AST,Kelis.Sanford@test.com,Sanford,Kelis,SanfordKelis,Yes,Biomaterials,Yes,"Neal,Bronte","Mckenna,Caine","Bowes,Dolcie", , ,"Peralta,Nayla","Lambert,Griff","Milner,Humzah","Hayes,Laibah","Beattie,Ewen","Moore,Dane","Pierce,Eliot", , , 
2020/03/02 12:11:54 AM AST,Bob.Sears@test.com,Sears,Bob,SearsBob,Yes,Biomaterials,Maybe,"Barnes,Julius","Bowes,Dolcie","Sanford,Kelis","Neal,Bronte","Harrington,Halle","Beattie,Ewen","Rigby,Ashraf","Hayes,Laibah","Devine,Kaylan","Peralta,Nayla","Merrill,Ellena","Ayala,Huseyin","Quintero,Shivam",,
2020/02/26 11:56:52 AM AST,Keri.Villarreal@test.com,Villarreal,Keri,VillarrealKeri,Yes,Biomaterials,Maybe,"Wharton,Lisa","Harrington,Halle","Bowes,Dolcie", , ,"Lambert,Griff","Milne,Ritchie","Peralta,Nayla","Howell,Steven","Kouma,Alfred","Milner,Humzah","Devine,Kaylan", , , 
2020/02/25 2:49:22 PM AST,Forrest.Weaver@test.com,Weaver,Forrest,WeaverForrest,Yes,Biomaterials,No,"Weaver,Forrest","Sanford,Kelis","Harrington,Halle","Bowes,Dolcie","Hinton,Colleen", , , , , , , , , , 
    ,    ,Webb,Chace,WebbChace,Yes,Biomedical Imaging,Maybe,,,,,,,,,,,,,,,
2020/03/05 12:12:17 PM AST,Lisa.Wharton@test.com,Wharton,Lisa,WhartonLisa,Yes,Neural Engineering,Yes,"Villarreal,Keri","Rooney,Saffa","Lara,Wilfred","Bowes,Dolcie","Harrington,Halle", , , , , , , , , , 
